product_id,product_name,product_regime_tag,jurisdiction_code,jurisdiction_name,region,regulation_name,regulation_ref,enforcement_body,key_requirements,status,criticality,legal_api_match,legal_api_id,legal_api_match_method,gap_action,notes
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU Cosmetics Regulation,(EC) No 1223/2009,EC DG GROW + NCAs,CPNP notification; PIF dossier; Responsible Person; Safety assessment per Annex I; Labeling per Article 19,in_force,critical,FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,OK,
1,Shampoing,Cosmétique rinse-off,EU,European Union,Europe,EU Cosmetics Regulation — CMR amendments,Regulation (EU) 2024/996,EC DG GROW,Updated restrictions on CMR substances in Annexes II/III; impacts fragrance allergens and preservatives,in_force,high,FOUND,0bc54e67-273b-4e35-beb1-7c4ae2c29170,name_substring,OK,Applies to all EU member states; check Annex II/III banned/restricted substances
1,Shampoing,Cosmétique rinse-off,FR,France,Europe,EU Cosmetics Regulation (applicable en FR),(EC) No 1223/2009,ANSM (Agence nationale de sécurité du médicament),CPNP notification; PIF en langue française si demandé; Responsible Person établi en UE,in_force,critical,FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,OK,Transposition directe du règlement UE; pas de loi nationale distincte
1,Shampoing,Cosmétique rinse-off,FR,France,Europe,Cosmétovigilance ANSM,Code de la Santé Publique L5131-6,ANSM,Déclaration obligatoire des effets indésirables graves (EIG) à l'ANSM; tenue d'un registre,in_force,high,NOT_FOUND,,,À ajouter,Spécificité FR: délai de déclaration EIG = dès connaissance
1,Shampoing,Cosmétique rinse-off,DE,Germany,Europe,EU Cosmetics Regulation (applicable in DE),(EC) No 1223/2009,BfR + BVL,CPNP notification; PIF accessible; Responsible Person within EU; German-language labeling,in_force,critical,FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,OK,
1,Shampoing,Cosmétique rinse-off,DE,Germany,Europe,Kosmetik-Verordnung (KVO) — German labeling supplement,KVO (BGBI. I 1977/1997 amendments),BfR,German language requirements on label; specific allergen disclosure rules,in_force,medium,FOUND,335e7746-8f46-40f2-92c3-07da865aa999,name_substring,OK,Supplementary to EC 1223/2009
1,Shampoing,Cosmétique rinse-off,IT,Italy,Europe,EU Cosmetics Regulation (applicable in IT),(EC) No 1223/2009,Ministero della Salute / ISS,CPNP notification; PIF; Responsible Person; Italian language labeling,in_force,critical,FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,OK,
1,Shampoing,Cosmétique rinse-off,IT,Italy,Europe,D.Lgs. 204/1992 — Italian Cosmetics Implementation,D.Lgs. 204/1992 (as amended),Ministero della Salute,Adverse event reporting to national authority; market surveillance obligations,in_force,medium,FOUND,d274c3a6-f0d8-433f-a6bd-06da388a3007,name_substring,OK,Pre-2013 national provisions still referenced for vigilance
1,Shampoing,Cosmétique rinse-off,ES,Spain,Europe,EU Cosmetics Regulation (applicable in ES),(EC) No 1223/2009,AEMPS,CPNP notification; Spanish-language labeling; PIF accessible to AEMPS,in_force,critical,FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,OK,
1,Shampoing,Cosmétique rinse-off,ES,Spain,Europe,RD 1599/1997 — Spanish Cosmetics National Rules,Real Decreto 1599/1997 (modified),AEMPS,Complementary national provisions; adverse reactions reporting,in_force,medium,NOT_FOUND,,,À ajouter,Partially superseded by EC 1223/2009 but vigilance provisions remain
